891.251 1
1122.02 0.990447
1412.54 1.04125
1778.28 0.963504
2238.72 0.983118
2818.38 0.912557
3548.13 0.819726
4466.84 0.755539
5623.41 0.624651
7079.46 0.518279
8912.51 0.409201
11220.2 0.310945
14125.4 0.242782
17782.8 0.180094
22387.2 0.140531
28183.8 0.109923
35481.3 0.0907586
44668.4 0.0762152
56234.1 0.06259
70794.6 0.0523951
89125.1 0.0476158
112202 0.0405252
141254 0.0303218
177828 0.0245678
223872 0.0202234
281838 0.0171904
354813 0.0118747
446684 0.00904328
562341 0.00737585
707946 0.00641337
891251 0.00371147
