891.251 1
1122.02 1.01576
1412.54 0.986816
1778.28 0.886573
2238.72 0.913399
2818.38 0.910718
3548.13 0.868989
4466.84 0.807327
5623.41 0.720607
7079.46 0.62414
8912.51 0.525922
11220.2 0.425393
14125.4 0.363426
17782.8 0.297394
22387.2 0.244771
28183.8 0.19346
35481.3 0.162899
44668.4 0.138176
56234.1 0.115488
70794.6 0.0976867
89125.1 0.0853533
112202 0.0739177
141254 0.0586019
177828 0.0506715
223872 0.0428692
281838 0.0328007
354813 0.0250136
446684 0.0193599
562341 0.0165967
707946 0.0128293
891251 0.00882593
